course_name
MATH11
 CHEM11
 COEN10
 ENGR1
 MATH12
 PHYS31
 COEN11
 COEN19
 MATH13
 PHYS32
 COEN12
 MATH14
 PHYS33
 COEN21
 AMTH106
 AMTH108
 COEN70
 MATH53
 ELEN50
 COEN20
 ELEN153
 COEN177
 COEN171
 COEN146
 ENGL181
 COEN179
 COEN174
 COEN194
 COEN175
 COEN195
 COEN122
 COEN196
